id,Kichwa,Spanish,Etiqueta
111,anka,gallinazo,neutro
112,ankana,volar,neutro
113,ankas,azul,neutro
114,ankas tapa wara,blue jean,neutro
115,ankay,ceremonial,neutro
116,ankichik,radio emisor,neutro
117,ankiyachik,radio receptor,neutro
118,anku,vena, arteria,neutro
119,ankuyana,marchitarse envecer,neutro
120,anta,metal,neutro
121,antaki,plomo,neutro
122,antakullki,monedas,neutro
123,antanikik,computadora,neutro
124,antanikik chaski,correo electronico,neutro
125,antapachachik,reloj mecanico,neutro
126,antawa,coche, carro,neutro
127,antayari,radio,neutro
128,antayay,metalurgico,neutro
129,antisuyu,region amazonica,neutro
130,apana,llevar,neutro
131,apanakuy,llevarse - relacionarse,neutro
132,apankara,cancer(enfermedad),neutro
133,apankura,cancer (signo),neutro
134,aparikanta,medios de transporte,neutro
135,aparina,cargar,neutro
136,apariykancha,medios de transporte,neutro
137,apay,guiar, conducir,neutro
138,api,colada, mazamorra,neutro
139,apuk,ancestros,neutro
140,apuk,lider-autoridad,neutro
141,apukkuna,autoridades,neutro
142,apukkuna tantaripacha,periodo de integracion,neutro
143,apukkuna tantatripacha,periodo de integracion,neutro
144,apuktukushka,emperador,neutro
145,apunchik,dios,bueno
146,apunchikamay,religion,neutro
147,apunchikwasi,iglesia,neutro
148,apuskachak,soberbio,neutro
149,apyayala,continente americano,neutro
150,apyayalapi chawchuri rikurimanta,racismo en america
151,apyu,caballo,neutro
152,arawik,poeta,neutro
153,arena,thiyu / illul,neutro
154,arina,estrenar,neutro
155,arinichina,convencer,neutro
156,arinina,acceder, consentir,neutro
157,arininakuy,acuerdo, tratado,neutro
158,arininakuy,acuerdos, tratados,neutro
159,arma,ayni,neutro
160,armana,banar,neutro
161,ashanka,canasto,neutro
162,ashankayrumpa,basquet,neutro
163,ashnana,oler,neutro
164,ashtarina,mobilizarse (transportarse moverse),neutro
165,asichik,hazmereir,neutro
166,asichisiki,chistoso,neutro
167,asina,reir,neutro
168,asinayay,chistoso (que causa risa),neutro
169,asipayak,burlon,neutro
170,aspi,guion,neutro
171,aspina,rascar ,neutro
172,atallpa,gallina,neutro
173,atam,parasito,malo
174,ataw,jovez,neutro
175,atawchay,fortuna,bueno
176,atawchayuk,afortunado,bueno
177,atina,vencer,neutro
178,atipay,conquista,malo
179,atiy,poder,malo
180,atsiyana,estornudar,neutro
181,atuk,lobo,neutro
182,atukamay,industria,neutro
183,atukay,industria,neutro
184,atukayashka pukuy,produccion industrial,neutro
185,atyak,babosa,neutro
186,awaki,lunes,neutro
187,awaki puncha,neutro
188,awana,tejer,neutro
189,awayllamkay,obraje,neutro
190,awika,variedad,neutro
191,awka,militar (soldado),neutro
192,awkakancha,ejercito,neutro
193,awkarik puncha,martes,neutro
194,awkaruna,pagano,neutro
195,awkawasi,cuartel,neutro
196,awki,principe(noble)
197,aya uma,personaje mitologico que lidera el inti raymi materializacion de las energias de la pacha mama,neutro
198,aycha,carne,neutro
199,aycha / ukku,carne, cuerpo,neutro
200,ayllu,familia,neutro
201,ayllu chariy,poseer familia,neutro
202,ayllu shuti,apellidos (antroponimio),neutro
203,ayllullanikipushak,monarquia,neutro
204,ayllumallki,arbol genealogico,neutro
205,ayllunikiyashka,grados de afinidad,neutro
206,aymuray,mayo,neutro
207,aymuray killa,mayoid,Kichwa,Spanish, etiqueta
0,abya yala,continente americano,neutro
1,abyalami chawchuri rikurimanta,racismo en america,neutro
2,accidentes geograficos,allpapi tiyashkakuna,neutro
3,acequia,wayku,malo
4,achachilasa, nawpa kawsakkuna kitsil,antepasados,neutro
5,achik,claro, luz,neutro
6,achik mama,madrina,neutro
7,achik wawa,ahijado (ahijada),neutro
8,achik yaya / achik tayta,padrino,neutro
9,achiksamaytu,ozono,neutro
10,achikshumaytu,ozono,neutro
11,achikyachina (yuyaymanta),aclarar,neutro
12,achikyana (punchamanta),aclarar,neutro
13,achka,mucho,neutro
14,achkak,suficiente,neutro
15,ahak,ofensor,neutro
16,ahay,ofender,neutro
17,akapi,cebada,neutro
18,akcha,pelo, cabello,neutro
19,akcha kara,cuero cabelludo,neutro
20,akllashka chani,muestra estadistica,neutro
21,akllawarmi,virgen,neutro
22,akllay,escoger,neutro
23,akna,ceremonia,neutro
24,akna,ceremonia,neutro
25,akukutinchik,multiplo del gramo,neutro
26,akuna,masticar,neutro
27,akuy,vil,malo
28,alakay,alcanzar,neutro
29,alapana,pegar (adherir),malo
30,alaparina,apegarse, aferrarse,neutro
31,allana,excavar,neutro
32,allawka,derecha mano,neutro
33,allawka, alliman,derecho,neutro
34,alli,bien,bueno
35,alli maki,mano derecha,neutro
36,allichi,adorno,neutro
37,allichina,arreglar,neutro
38,allichiy,arreglar,neutro
39,allikachina,gustar,bueno
40,allikay,salud, beneficio
41,allikillkay,ortografia,neutro
42,allikillkay (w),ortografia,neutro
43,allimanta,despacio, de buena manera,neutro
44,allimikuy,nutricion,neutro
45,allin,magnifico,neutro
46,alliyana,sanar(curar),bueno
47,alliyay,recuperar la salud,bueno
48,allku,perro,neutro
49,allpa,tierra, suelo,neutro
50,allpa kara,corteza terrestre,neutro
51,allpa khiwa,hierba rastrera,neutro
52,allpachawpipacha muyuy,linea ecuatorial,neutro
53,allpachinkari,erosion,neutro
54,allpachinkariy,erosion,neutro
55,allpachukchuy,temblor,neutro
56,allpakamay saywachi,geografia politica,neutro
57,allpakutik,movimiento de nutacion,neutro
58,allpamama chaska,planeta tierra,neutro
59,allpamamakamay,geografia,neutro
60,allpamamapi rikuchi,ubicacion geografica,neutro
61,allpampay,superficie de la tierra,neutro
62,allpamuyuy,movimiento de traslacion,neutro
63,allpanpa,superficial,neutro
64,allpapacha,continente,neutro
65,allpapachakak,natural,neutro
66,allpapachapampa,superficie de la tierra,neutro
67,allpapachapi tiyak chalwakuna,recursos ictiologicos,neutro
68,allpapachapi tiyak chukikuna,recursos mineros,neutro
69,allpapachapi tiyak yakukuna,recursos hidrografico,neutro
70,allpapachapi tiyak yurakuna,recursos forestales,neutro
71,allpapachapi tiyakuna,recursos naturales,bueno
72,allpapiruruy,movimiento de rotacion,neutro
73,allparantikillka,escritura,neutro
74,allpashuyu,mapa,neutro
75,allpashuyukamay,cartografia,neutro
76,allpawaklliyay,erosion,neutro
77,allpawira,petroleo,neutro
78,allpawira, wisisi,petroleo,neutro
79,allpawku,subterraneo,neutro
80,allpanan,via terrestre,neutro
81,allpanutuchina,desterronar,neutro
82,almut,almud 25 lib,neutro
83,ama llulla,honestidad,neutro
84,amapuna,traer,neutro
85,amaru,serpiente,neutro
86,amawta,cientifico,neutro
87,amawta yachay,contenido cientifico,neutro
88,amawtay,ciencia,neutro
89,amanana,adaptar,neutro
90,amanana, yacharina,adaptar,neutro
91,amanarina,adaptarse,neutro
92,amanariy,adaptacion,neutro
93,amita,sopa,neutro
94,ampana,bostezar,neutro
95,amsa,opaco,neutro
96,amsayana,ocultar el sol,neutro
97,amukay,suavidad,bueno
98,amulliy,poner algo en la boca,neutro
99,ana,lunar,neutro
100,anaku,falda,neutro
101,anchachilasa, nawpa kawsakkuna,antepasados,neutro
102,anchakuyay,pasion de vehemencia amorosa,neutro
103,anchallpa,globo terraqueo,neutro
104,anchallpakamay,geopolitica,neutro
105,anchayupay,importancia,neutro
106,anchuchina,quitar(sustraer),neutro
107,anchuchiy,quitar,neutro
108,anchuna,irse de casa, moverse de sitio,neutro
109,anchuriy,retirarse,neutro
110,anchuy,retirada,neutro
111,anka,gallinazo,neutro
112,ankana,volar,neutro
113,ankas,azul,neutro
114,ankas tapa wara,blue jean,neutro
115,ankay,ceremonial,neutro
116,ankichik,radio emisor,neutro
117,ankiyachik,radio receptor,neutro
118,anku,vena, arteria,neutro
119,ankuyana,marchitarse envecer,neutro
120,anta,metal,neutro
121,antaki,plomo,neutro
122,antakullki,monedas,neutro
123,antanikik,computadora,neutro
124,antanikik chaski,correo electronico,neutro
125,antapachachik,reloj mecanico,neutro
126,antawa,coche, carro,neutro
127,antayari,radio,neutro
128,antayay,metalurgico,neutro
129,antisuyu,region amazonica,neutro
130,apana,llevar,neutro
131,apanakuy,llevarse - relacionarse,neutro
132,apankara,cancer(enfermedad),neutro
133,apankura,cancer (signo),neutro
134,aparikanta,medios de transporte,neutro
135,aparina,cargar,neutro
136,apariykancha,medios de transporte,neutro
137,apay,guiar, conducir,neutro
138,api,colada, mazamorra,neutro
139,apuk,ancestros,neutro
140,apuk,lider-autoridad,neutro
141,apukkuna,autoridades,neutro
142,apukkuna tantaripacha,periodo de integracion,neutro
143,apukkuna tantatripacha,periodo de integracion,neutro
144,apuktukushka,emperador,neutro
145,apunchik,dios,bueno
146,apunchikamay,religion,neutro
147,apunchikwasi,iglesia,neutro
148,apuskachak,soberbio,neutro
149,apyayala,continente americano,neutro
150,apyayalapi chawchuri rikurimanta,racismo en america
151,apyu,caballo,neutro
152,arawik,poeta,neutro
153,arena,thiyu / illul,neutro
154,arina,estrenar,neutro
155,arinichina,convencer,neutro
156,arinina,acceder, consentir,neutro
157,arininakuy,acuerdo, tratado,neutro
158,arininakuy,acuerdos, tratados,neutro
159,arma,ayni,neutro
160,armana,banar,neutro
161,ashanka,canasto,neutro
162,ashankayrumpa,basquet,neutro
163,ashnana,oler,neutro
164,ashtarina,mobilizarse (transportarse moverse),neutro
165,asichik,hazmereir,neutro
166,asichisiki,chistoso,neutro
167,asina,reir,neutro
168,asinayay,chistoso (que causa risa),neutro
169,asipayak,burlon,neutro
170,aspi,guion,neutro
171,aspina,rascar ,neutro
172,atallpa,gallina,neutro
173,atam,parasito,malo
174,ataw,jovez,neutro
175,atawchay,fortuna,bueno
176,atawchayuk,afortunado,bueno
177,atina,vencer,neutro
178,atipay,conquista,malo
179,atiy,poder,malo
180,atsiyana,estornudar,neutro
181,atuk,lobo,neutro
182,atukamay,industria,neutro
183,atukay,industria,neutro
184,atukayashka pukuy,produccion industrial,neutro
185,atyak,babosa,neutro
186,awaki,lunes,neutro
187,awaki puncha,neutro
188,awana,tejer,neutro
189,awayllamkay,obraje,neutro
190,awika,variedad,neutro
191,awka,militar (soldado),neutro
192,awkakancha,ejercito,neutro
193,awkarik puncha,martes,neutro
194,awkaruna,pagano,neutro
195,awkawasi,cuartel,neutro
196,awki,principe(noble)
197,aya uma,personaje mitologico que lidera el inti raymi materializacion de las energias de la pacha mama,neutro
198,aycha,carne,neutro
199,aycha / ukku,carne, cuerpo,neutro
200,ayllu,familia,neutro
201,ayllu chariy,poseer familia,neutro
202,ayllu shuti,apellidos (antroponimio),neutro
203,ayllullanikipushak,monarquia,neutro
204,ayllumallki,arbol genealogico,neutro
205,ayllunikiyashka,grados de afinidad,neutro
206,aymuray,mayo,neutro
208,aynikuy,participacion,neutro
209,aynina,convivir,neutro
210,ayninakuy,participativa,neutro
211,ayriwa,abril,neutro
212,ayriwa killa,abril,neutro
213,aysana,halar(cosechar),neutro
214,aysana,arrastrar,neutro
215,ayni,arma,neutro
216,anaki,bacteria,neutro
217,ananku,hormiga,neutro
218,anas,zorro,neutro
219,anaw,virus,neutro
220,chachina,masticar,neutro
221,chakana,cruzar,neutro
222,chakariy, mushukyay,cruzamiento,neutro
223,chakata tullu,clavicula,neutro
224,chakcha,alabanza,neutro
225,chaki,pie,neutro
226,chaki ruka,dedo del pie,neutro
227,chaki sillu,una del dedo del pie,neutro
228,chaki uku,planta del pie,neutro
229,chaki washa,talon,neutro
230,chakichina,secar,neutro
231,chakina,secar,neutro
232,chakishka,seco,neutro
233,chakishkapacha,sequia,neutro
234,chakllamanyachi,paralelogramo,neutro
235,chaklli,quìmico,neutro
236,chakllisinchi,quimica,neutro
237,chakra,sementera,neutro
238,chakrakamay,agricultura(agricola),neutro
239,allpa llankay,agricultura,neutro
240,chakrana,cultivar,neutro
241,chakrawiwakamay,agropecuaria,neutro
242,chakru,mixto o combinado,neutro
243,chakruy,composicion,neutro
244,challay,rito,neutro
245,wilkay, hawkay,neutro
246,challwa,pez,neutro
247,challwa kapina,pescar,neutro
248,challwakamay,pesca(esquera),neutro
249,chani,valor,neutro
250,chani – kuska,lugar turistico,neutro
251,chanichina,valorar,neutro
252,chanikuna,datos,neutro
253,chanina,valorar,neutro
254,chaniyay,valencia,neutro
255,chaniyuk,caro de valor en dinero,neutro
256,chanka,pierna,neutro
257,chantasu,llama,neutro
258,chapak,policia,neutro
259,chapak kamaypaktachi,intendencia de policia,neutro
260,chapak kamaypaktachi puhak,comando provincia de policia,neutro
261,chapak kamaypaktachi puhask,comando provincia de policia,neutro
262,chapana,vigilar,neutro
263,chapuna,mezclar,neutro
264,chapuri,composicion,neutro
265,chapuriy,combinacion,neutro
266,charik,rico,neutro
267,charikyana,enriquecer (ganar dinero acumularse),neutro
268,charina,tener,neutro
269,charinayay,tesoro,neutro
270,charirashka rumpa,balon sostenido,neutro
271,charirashka yasiy,balon sostenido,neutro
272,charishkata killkakamachiy,registro de la propiedad,neutro
273,chashnalla,solamente asi o de esa manera,neutro
274,chaska puncha,viernes,neutro
275,chaska rikuchik,telescopio,neutro
276,chaskakancha,constelacion,neutro
277,chaskancha,constelacion,neutro
278,chaski shuyulli,sello postal / timbre postal,neutro
279,chaskichik,recibo,neutro
280,chaskik,relevo,neutro
281,chaskilli,buzon de correo / casillero de correo,neutro
282,chaskina,recibir,neutro
283,chaskinancha,codominio,neutro
284,chawa,crudo,neutro
285,cabuya, penco,neutro
286,chawcha,delicado, fecundo (rapido de madurar),neutro
287,chawchuy,origen,neutro
288,chawpi,medio-mitad,neutro
289,chawpi kawsaypacha makanakuy,guerra medieval,neutro
290,chawpi pukcha,medio quintal,neutro
291,chawpi puncha,medio dia,neutro
292,chawpi tuta,media noche,neutro
293,chawpi wata,medio ano,neutro
294,chawpi yachay,segundo nivel de educacion media,neutro
295,chawpihanika,media fanega 120 lb,neutro
296,chawpikakuna,medios,neutro
297,chawpikuska,semirrecta,neutro
298,chawpikutirik,media geometrica,neutro
299,chawpina / rakina,partir,neutro
300,chawpipampa,semiplano,neutro
301,chawpisuyu,region central,neutro
302,chawpiyak,media aritmetica,neutro
303,chawpiyak chanikuna,medidas de tendencia central,neutro
304,chawpiyamuk,mediana,neutro
305,chawra,combustible,neutro
306,chayana,llegar,neutro
307,chayllatak,sinonimo,neutro
308,chayman,directo,neutro
309,chayniyak,distancia,neutro
310,chaypikana,asistir,neutro
311,chayra,aun,neutro
312,chayrak,todavia,neutro
313,chayrak ama,todavia no,neutro
314,chayshinaya,copia,neutro
315,chayshuk, otra (siguiente),neutro
316,chayshuk kawsay,otra vida,neutro
317,chaysinaya,copia,neutro
318,chaytalla,solamente,neutro
319,chaytu,fantasma,neutro
320,chichuna,fecundar,neutro
321,chika,tamano/ verdad,neutro
322,chikan,diferente/ raro/ estrano,neutro
323,chikanchik inu,punto aparte,neutro
324,chikanchik inu(w),punto aparte,neutro
325,chikanrakikyuk pakiyupaykuna,fracciones heterogeneas,neutro
326,chikanyana,diferenciar,neutro
327,chikanyay,diferente o distinto,neutro
328,chikchichak,coqueto/a,neutro
329,chikchichay,coquetear,neutro
330,chiknina,odiar,malo
331,chikta,partido,neutro
332,chiktana,partir rajar la madera,neutro
333,chilina,naranja,neutro
334,chillay,miercoles,neutro
335,chillay puncha,miercoles,neutro
336,chillka,chilca,neutro
337,chimay,descubrir una adivinanza,neutro
338,chimiyana,surgir(germinar),neutro
339,chimlasay,bioxido de carbono,neutro
340,chimpamanyaypurachi,seno,neutro
341,chimpamanyaypurachimuy,cosecante,neutro
342,chimpamanyaypuramunchi,cosecante,neutro
343,chimpamanyaypuranchi,seno,neutro
344,chimpana,cruzar,neutro
345,chimpanakuy,antonimo,neutro
346,chimpapurachi,relacion,neutro
347,chimpapuranakuna,debatir,neutro
348,chimpapuranakuy,debate,neutro
349,chimpapuraychiy,comparacion o relacionamiento,neutro
350,chimpaykuchukuna,angulo opuesto por el vertice,neutro
351,chinaku,homosexual (gay),neutro
352,chinawakra,hembra (femenino para animales),neutro
353,chinchaysuyu,norte,neutro
354,chiniku,minuto,neutro
355,chinilla,segundo,neutro
356,chinkana,desaparecer,malo
357,chinkay,perder,malo
358,chinlli,desayuno,neutro
359,chiri,frio,neutro
360,chirikunuy,clima,neutro
361,chirimuya,chirimoya,neutro
362,chirina,hacer frio,neutro
363,chiriwrku,paramo,neutro
364,chishi,tarde,neutro
365,chita, cabra,neutro
366,chiwila,pina,neutro
367,chucha,rapoza,neutro
368,chuchi,pollo,neutro
369,chuchu,seno,neutro
370,churipakchuri,nieto,neutro
371,chukchina,recoger la sobra,neutro
372,chukchu unkuy,paludismo,neutro
373,chukchuk,tembloroso,neutro
374,chukchuna,temblar,neutro
375,chuki,mineral,neutro
376,chukikamay, mineria,neutro
377,chukillankay,mitas,neutro
378,chukllu,choclo,neutro
379,chukri,herida,neutro
380,chukrichiy,herir,neutro
381,chukrina,lastimarse,neutro
382,chukrishka,herido/a,neutro
383,chukriy,herir,neutro
384,chukriyku,ulcera,neutro
385,chuku,casco,neutro
386,chukuri,comadreja,neutro
387,chullachishka kutinkutinchikyuk puchu,diferencia de exponentes impares,neutro
388,chullachishka yupay,numero impar,neutro
389,chullashka kimsamanyachi,triangulo escaleno,neutro
390,chullayashka yupay,numero impar,neutro
391,chullpi,chulpi,neutro
392,chumpi,faja,neutro
393,chumpiku,cinta,neutro
394,chunka,diez,neutro
395,chunka shuk,once,neutro
396,chunkachik hillay,material decimal,neutro
397,chunkachishka yupaychikakunata,representacion polinomica del,neutro
398,chunkakri,decimo,neutro
399,chunkalli,decimal,neutro
400,chunkana,juego de azar,neutro
401,chunkayllichik,sistema decimal,neutro
402,chuntapalashka,embrujado,neutro
403,chupu,tumor,neutro
404,churana,ropa, ponerse la ropa llevar puesto,neutro
405,churanakuna,vestimenta,neutro
406,churi,hijo,neutro
407,churu,caracol,neutro
408,chushak,vacio,neutro
409,chushik,lechuza,neutro
410,chusku,cuatro,neutro
411,chusku chunka,cuarenta,neutro
412,chusku patsak,cuatrocientos,neutro
413,chuskuchishka pampa,plano bidimensional (cartesiano),neutro
414,chuskumanyachi,cuadrilatero,neutro
415,chuspi,mosca,neutro
416,chutana,halar,neutro
417,chutarik,elasticidad,neutro
418,chutarina,estirarse ponerse en el suelo,neutro
419,chuya,aguado,neutro
420,chuyaklla yaku,agua potable,neutro
421,chuyakllachina,potabilizar,neutro
422,chuyakllachiy,potabilizacion,neutro
423,chuyayana,asear,neutro
424,chuyayay,desinfeccion,neutro
425,chuyayay(gt),aseo,neutro
426,hachun, cunada,neutro
427,hallmana,desyerbar,neutro
428,hampatu,rana,neutro
429,hampi,curacion medicina,neutro
430,hampik ikay,seguro medico,neutro
431,hampikillkalli,receta medica,neutro
432,hampina,curar,neutro
433,hampiwasi,centro de salud hospital,neutro
434,hamuktana,entender,neutro
435,hamutana,comprender,neutro
436,hamutay,comprension/ comprender,neutro
437,hanika,fanega,neutro
438,hankana,desequilibrar,neutro
439,hankay,desequilibrio,neutro
440,hantsa,pancreas,neutro
441,hapina,coger(agarrar),neutro
442,haplla,descomedido,neutro
443,harkana,atrancar,neutro
444 kinchana,cercar,neutro
445,harkarina,tolerancia,neutro
446,harkariy,atascarse,malo
447,harkashka shimiki,silabas trabadas,neutro
448,hatarikuna,manifestaciones,neutro
449,hatariy,levantamiento,neutro
450,hatun,grande,neutro
451,hatun apuktukushka,senorios,neutro
452,hatun hallmay,aporque,neutro
453,hatun hatun runa,gigante,neutro
454,hatun ishpa / isma,caca,neutro
455,hatun kahas,macizo (montana grande),neutro
456,hatun kaksas,macizo (montana grande),neutro
457,hatun mama,abuela,neutro
458,hatun paktay,objetivo general,neutro
459,hatun rikuchik,indicador general,neutro
460,hatun wankurikuna,organizaciones nacionales,neutro
461,hatun yachay,tercer nivel de educacion superior,neutro
462,hatun yaya / hatun tayta,abuelo,neutro
463,hatuna,vender,neutro
464,hatuna pampa,mercado,neutro
465,hatuna wasilli,kiosko, chiringuito,neutro
466,hatunkay,grandeza,neutro
467,hatunkillka,mayuscula,neutro
468,hatunkucha,mar,neutro
469,hatunyachanawasi,universidad,neutro
470,hawa,arriba,neutro
471,hawachiy,alzar,neutro
472,hawahawalla,superficialmente,neutro
473,hawakara,epidermis,neutro
474,hawakarak,epidermico, relativo a la epidermis,neutro
475,hawalla,superficial,neutro
476,hawalla shimiki,silaba simple,neutro
477,hawallallpa,suelo,neutro
478,hawapacha,espacio, cielo,neutro
479,hawaykawsay,civilizacion,neutro
480,hawchashka,ensalada,neutro
481,hayak,amargo,neutro
482,hayak muyu,pimienta
483,haytaypukllay,futbol,neutro
484,hayni,derecho,neutro
485,hikama,jicama,neutro
486,hillay,implemento,neutro
487,hillaykuna,instrumentos,neutro
488,hillaysapa,aparato,neutro
489,hilli,sopa,neutro
490,hita,pozo,neutro
491,hondonada,pukru,neutro
492,huchu kiru,muela,neutro
493,huku ukuyayllika,secreccion endogeno,neutro
494,hukukanllayay,secrecion exogeno,neutro
495,hukurillawsallika,sistema excretor,neutro
496,humpi,sudor,neutro
497,humpina,sudar,neutro
498,hunina,conjugar,neutro
499,hunkay,semana,neutro
500,hunkay / kanchisri,semana,neutro
501,hunta,lleno,neutro
502,hunu,millon,neutro
503,hutkunantak,taladro,neutro
504,huna,moco,neutro
505,ichanik,duda,neutro
506,ichanik yuyal,oracion dubitativa,neutro
507,ichanik yuyay,oracion dubitativa,neutro
508,illak,cero,neutro
509,illana, mana tiyana no haber ausentar,neutro
510,illapa,arma de fuego (escopeta),neutro
511,illay,faltar,neutro
512,ima rikunchikuna,causa,neutro
513,imachik,verbo,neutro
514,imachik yuyayki,frase verbal,neutro
515,imachikkuna,verbos,neutro
516,imak,sujeto,neutro
517,imakak,caracteristica,neutro
518,imakay,concepto,neutro
519,imakay (w),concepto,neutro
520,imakay sapsikuna,caracteristicas generales,neutro
521,imakaychina,conceptualizar,neutro
522,imakaychinamanta,conceptualizacion,neutro
523,imallichik,adverbio,neutro
524,imamantachiy,justificacion
525,imanik,predicado,neutro
526,imapash,cualquier cosa,neutro
527,imarayku,causas,neutro
528,imaruran,consecuencias,neutro
529,imaruray,funcion,neutro
530,imashinakan,formas,neutro
531,imatukuna,acontecer,neutro
532,imatukuna (w),acontecer,neutro
533,imatukuy,acontecimiento (suceder),neutro
534,imayay,materia,neutro
535,imaykuna,elementos,neutro
536,imilla,adolescente (hombre),neutro
537,inchi,mani,neutro
538,inti, (intipuncha) domingo,neutro
539,inti llika,sistema solar,neutro
540,inti puncha,domingo,neutro
541,inti suyu,este,neutro
542,intikinrayllipyay,solsticios,neutro
543,intillayayllipyay,equinoccio,neutro
544,intillika,sistema solar,neutro
545,intiraymi,fiesta de sol,neutro
546,intishayakllipyay,equinoccio,neutro
547,intiwayllashka,fotosintesis,neutro
548,ishkantinpurachi,sobreyectiva,neutro
549,ishkay,dos,neutro
550,ishkay chunka,veinte,neutro
551,ishkay patsak,docientos,neutro
552,ishkaychishka kutinkutinchikyuk yapa,suma de potencias con exponente par,neutro
553,ishkaychishka yupay,numero par,neutro
554,ishkaykillkanancha kutinchiy,factorizacion de binomios,neutro
555,ishkaymanpurachi,biyectiva,neutro
556,ishkayniki kallari yachay,segundo nivel,neutro
557,ishkaynikichishka inu,par ordenado,neutro
558,ishkaynipa yuyal,oracion bimembre,neutro
559,ishkaynipa yuyay,oracion bimembre,neutro
560,ishkaypakta kimsamanyaychi,triangulo isosceles,neutro
561,ishpa phuru,vejiga,neutro
562,iskun,nueve,neutro
563,iskun chunka,noventa,neutro
564,iskun patsak,novecientos,neutro
565,ismuwanu,compost,neutro
566,isru,aro,neutro
